vid_id,ad_view
VID_1054,1174
VID_18629,879
VID_13967,1593
VID_19442,550
VID_770,929
VID_10315,1593
VID_7417,1188
VID_17788,3500
VID_14591,475
VID_1228,824
VID_10153,879
VID_5667,1593
VID_22775,3500
VID_8353,3500
VID_486,1138
VID_17460,3500
VID_5867,1901
VID_15951,2083
VID_14890,3500
VID_7219,2847
VID_20045,3500
VID_11874,3500
VID_1208,3246
VID_4529,6829
VID_6793,1736
VID_18254,576
VID_11155,1188
VID_12257,3500
VID_4207,853
VID_23276,1736
VID_18261,641
VID_11536,1593
VID_6429,455
VID_9277,1593
VID_517,1797
VID_11291,12608
VID_11265,1892
VID_632,1823
VID_13587,851
VID_16439,3500
VID_14888,1208
VID_3207,1825
VID_9352,3500
VID_3286,463
VID_19592,3500
VID_15582,3500
VID_15269,5039
VID_5703,1437
VID_22315,1593
VID_14939,1188
VID_18277,1736
VID_1684,1487
VID_14842,1135
VID_635,584
VID_19621,1593
VID_2006,3500
VID_2427,3500
VID_3232,1207
VID_17944,980
VID_19507,1593
VID_6745,3500
VID_8446,3500
VID_17593,1969
VID_21611,6829
VID_16242,1593
VID_23409,1593
VID_22950,3500
VID_15401,590
VID_7634,2083
VID_4283,3500
VID_20020,3500
VID_13334,1925
VID_17504,3500
VID_22854,4322
VID_4396,10528
VID_7426,1901
VID_1941,2206
VID_22447,3500
VID_13156,3500
VID_6361,1256
VID_1601,1593
VID_5787,1770
VID_15044,3500
VID_18511,5043
VID_17965,1593
VID_20023,3500
VID_20294,1540
VID_4284,3246
VID_6333,842
VID_4459,6829
VID_7896,3500
VID_14003,1823
VID_22518,3500
VID_12272,3308
VID_1002,1461
VID_2801,1188
VID_85,783
VID_17535,568
VID_16710,1189
VID_7899,250
VID_3336,2742
VID_966,1593
VID_15920,1825
VID_9048,1217
VID_10819,3500
VID_9004,1593
VID_8038,3500
VID_22273,641
VID_9597,3500
VID_405,576
VID_6857,1174
VID_745,1138
VID_22181,1593
VID_2452,1188
VID_16534,451
VID_8504,3500
VID_6211,1593
VID_7421,486
VID_19004,1188
VID_21560,3500
VID_6904,667
VID_10068,379
VID_3831,784
VID_523,3500
VID_21181,1614
VID_9556,3500
VID_1140,6380
VID_18078,2459
VID_13326,1188
VID_21883,1442
VID_18044,1736
VID_11715,3500
VID_7741,1593
VID_23167,1593
VID_4147,1493
VID_12377,824
VID_16014,2083
VID_21928,3794
VID_22002,3500
VID_19194,3794
VID_17892,1593
VID_19234,3500
VID_1790,3500
VID_7878,1593
VID_6945,3500
VID_17600,1016
VID_7502,1825
VID_11761,3500
VID_578,1188
VID_2068,3500
VID_10591,1593
VID_1300,6911
VID_2950,1131
VID_12930,3500
VID_22247,1593
VID_4330,3794
VID_14398,3171
VID_8506,3500
VID_12462,924
VID_21697,3500
VID_14574,2647
VID_14171,528
VID_22620,1256
VID_5642,1593
VID_12689,3123
VID_3676,773
VID_23515,1593
VID_11336,3500
VID_8360,629
VID_14293,2990
VID_7088,1232
VID_11588,1736
VID_12193,1593
VID_18944,3500
VID_14220,1696
VID_2589,3500
VID_17644,1256
VID_20263,1593
VID_15204,1823
VID_6855,1426
VID_19306,1736
VID_20132,3500
VID_18477,1547
VID_4562,1188
VID_17001,1823
VID_6858,966
VID_20250,1406
VID_22484,3500
VID_2358,3500
VID_17132,2083
VID_19635,3246
VID_20188,3500
VID_1272,3068
VID_2390,1444
VID_10914,1593
VID_9647,3500
VID_11219,1593
VID_13260,3500
VID_21600,3500
VID_12441,576
VID_15261,1655
VID_11540,1318
VID_20101,1116
VID_3909,3500
VID_14409,3500
VID_10430,1593
VID_8148,1569
VID_9579,3500
VID_12302,1901
VID_7161,3500
VID_17471,1188
VID_13296,1207
VID_1935,879
VID_23277,1593
VID_20389,3500
VID_2988,1593
VID_5453,1825
VID_6553,630
VID_18356,4800
VID_15268,3500
VID_21503,276
VID_6901,1207
VID_5796,1822
VID_21475,1593
VID_19600,3500
VID_7977,3500
VID_4704,1593
VID_20858,1732
VID_23644,3500
VID_12962,3500
VID_4894,1138
VID_4803,1188
VID_8408,1843
VID_12226,1403
VID_1299,2060
VID_7721,3500
VID_1919,5025
VID_23316,7707
VID_17849,783
VID_1313,1593
VID_9117,3500
VID_9152,3500
VID_15543,1207
VID_11505,1188
VID_647,1487
VID_2236,3500
VID_14118,608
VID_1225,6380
VID_11257,528
VID_13130,3794
VID_12580,3500
VID_860,3500
VID_14251,1188
VID_6476,1038
VID_13070,2083
VID_4623,2874
VID_13599,3500
VID_11705,3500
VID_11736,1593
VID_14145,3500
VID_13264,3500
VID_10476,1398
VID_22755,3500
VID_13294,2635
VID_964,2146
VID_23498,924
VID_12090,1593
VID_7494,924
VID_141,1339
VID_242,3500
VID_8088,1925
VID_10154,1593
VID_3878,844
VID_4799,1188
VID_12287,3937
VID_15607,3500
VID_9974,494
VID_20032,3500
VID_9920,1188
VID_7959,3500
VID_21506,1593
VID_15898,1593
VID_4349,1487
VID_16235,3869
VID_6391,1403
VID_4940,1593
VID_16185,281
VID_6988,1593
VID_877,3500
VID_23610,3500
VID_17702,2184
VID_18664,1593
VID_9915,3500
VID_4438,3500
VID_15812,1593
VID_15966,3500
VID_2832,1188
VID_20533,1593
VID_12692,1593
VID_11340,3500
VID_10760,3500
VID_19631,3634
VID_7012,1174
VID_7799,1593
VID_3963,1593
VID_501,1569
VID_9202,1736
VID_14268,1593
VID_21714,1188
VID_23154,2082
VID_4429,1256
VID_16062,1593
VID_6282,3500
VID_13205,1925
VID_8515,1188
VID_9480,3500
VID_21979,3825
VID_18494,500
VID_20589,3500
VID_15916,3246
VID_17023,1593
VID_8425,1174
VID_3586,1417
VID_5788,1611
VID_12137,1040
VID_14347,1753
VID_19044,1188
VID_11039,3500
VID_3484,1593
VID_15142,3794
VID_3351,583
VID_5895,1593
VID_16112,1593
VID_19247,3500
VID_11439,779
VID_18883,3500
VID_12140,1593
VID_17446,3500
VID_5115,1568
VID_21486,2083
VID_17120,886
VID_3959,1593
VID_15956,1593
VID_15739,1593
VID_2682,1593
VID_14621,3500
VID_9320,3500
VID_12110,555
VID_11354,1188
VID_811,3246
VID_9472,3500
VID_4773,3500
VID_12695,1138
VID_19547,1951
VID_530,1188
VID_155,1593
VID_22955,3500
VID_20307,3500
VID_11612,1593
VID_15674,784
VID_13000,3500
VID_1455,1593
VID_23534,1593
VID_18740,1593
VID_17988,3794
VID_21728,3500
VID_10905,1188
VID_18445,1925
VID_21983,4346
VID_16023,1406
VID_1444,851
VID_1814,923
VID_19094,3500
VID_19355,1736
VID_20430,3500
VID_13461,891
VID_9066,1593
VID_3020,3500
VID_13577,3013
VID_5062,2459
VID_9293,1593
VID_16663,1188
VID_20444,1593
VID_22353,4048
VID_22384,2064
VID_23036,3500
VID_12705,1593
VID_11785,1736
VID_22988,3500
VID_9495,3500
VID_8909,773
VID_13459,1040
VID_22206,3444
VID_12228,1901
VID_2335,1138
VID_17498,1593
VID_18702,3500
VID_10850,3500
VID_12956,3500
VID_6246,1593
VID_9539,3500
VID_17436,1987
VID_8383,486
VID_4554,5043
VID_18487,1593
VID_6285,2083
VID_287,3500
VID_5371,2274
VID_10704,3500
VID_20810,3123
VID_7972,3500
VID_10923,1188
VID_11876,2772
VID_15477,1294
VID_12366,3500
VID_6538,434
VID_10092,853
VID_6826,2069
VID_22526,3500
VID_10897,3500
VID_3400,1825
VID_9995,2221
VID_19337,657
VID_9673,3500
VID_12280,3500
VID_14038,722
VID_11157,1188
VID_13406,3500
VID_7774,1593
VID_7386,3500
VID_2419,1188
VID_6334,1901
VID_1778,1635
VID_4907,1188
VID_7122,1138
VID_10445,1892
VID_18113,1593
VID_6716,1747
VID_5803,1823
VID_6459,3794
VID_14427,1593
VID_3872,1657
VID_6774,3500
VID_11609,1593
VID_21821,2381
VID_14317,3500
VID_4982,1593
VID_5798,1487
VID_4365,3500
VID_6535,503
VID_7237,1747
VID_10388,699
VID_17934,1593
VID_838,3500
VID_5439,1593
VID_11455,1188
VID_7473,3500
VID_16677,1138
VID_18433,1593
VID_10243,3500
VID_23592,6829
VID_19401,3500
VID_2547,1593
VID_4525,3500
VID_13804,3794
VID_22266,1593
VID_7560,3500
VID_10381,1215
VID_4977,1593
VID_14081,1188
VID_19054,3500
VID_2608,3500
VID_8639,3500
VID_4407,2083
VID_9135,3794
VID_9462,1188
VID_10687,3500
VID_15274,2739
VID_22631,924
VID_3777,891
VID_10585,5039
VID_18024,1593
VID_10941,1188
VID_525,1188
VID_17097,1593
VID_13836,1593
VID_12202,1444
VID_20868,1593
VID_17084,675
VID_23196,1188
VID_7322,1188
VID_17922,1442
VID_5486,1739
VID_15289,3246
VID_7993,3895
VID_14078,3500
VID_21530,1448
VID_11469,924
VID_20959,3500
VID_18159,924
VID_19624,3500
VID_19029,1593
VID_3489,669
VID_15983,1593
VID_23605,587
VID_23757,3500
VID_7488,1138
VID_15445,1593
VID_4538,1925
VID_22661,3825
VID_5912,3500
VID_3324,1736
VID_21241,3500
VID_18194,688
VID_8640,3500
VID_10657,3794
VID_3622,1593
VID_14909,1593
VID_5961,3500
VID_117,3500
VID_4690,618
VID_10717,3500
VID_20280,1212
VID_6395,2083
VID_9199,1188
VID_6343,366
VID_7459,1387
VID_18041,3500
VID_12175,1593
VID_8174,1117
VID_15644,1593
VID_3021,691
VID_251,3500
VID_20609,1593
VID_2033,847
VID_20357,2012
VID_16428,3500
VID_12297,3500
VID_1214,1515
VID_19907,1892
VID_4697,3500
VID_22474,1593
VID_4002,1825
VID_17351,3500
VID_937,1461
VID_17501,1569
VID_2312,328
VID_22996,3500
